"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"411",3,1384.8,988.5,20,0,1384.1846590455,988.589002471984,1078.20256395166,107.871515319836,19.99184108,0.00489394,9.93239177995998,5.69057482211267,"1_z005","1a.2","Less_Restrictive"
"511",4,993.15,949.7,20,0,993.139686664134,949.71186050305,975.383057980404,13.1468878173603,19.9679876,0.02442676,9.94194301454,5.6585227299673,"1_z005","2a","Less_Restrictive"
"611",5,993,487.5,285,0,992.895798807418,487.544289713835,816.355970401829,155.740276798447,284.951171805,0.30161094,138.428901680505,71.7094727362936,"1_z005","2b","Less_Restrictive"
"711",6,992,487,40,0,991.116902796037,487.155728803142,710.740046463109,169.879202390151,39.99071268,0.01045676,20.23624793388,11.6078144379715,"1_z005","2b.1","Less_Restrictive"
"811",7,497,485,40,0,496.998501368,485.008655204,490.765749581028,3.46750798974428,39.9823108,0.01935428,20.25380188276,11.6440419625875,"1_z005","3a","Less_Restrictive"
"911",8,496,201,100,70,494.65825327,201.018337182106,349.426249649066,82.9113819417048,99.96943822,70.00541065,85.0950526105,8.74011411326029,"1_z005","3b","Less_Restrictive"
"1011",9,251,2.6,20,0,250.9367044508,3.3119620928,129.212436025939,72.4859499129525,19.99789256,0.0055543,10.14316331122,5.85688325138813,"1_z005","3b.1","Less_Restrictive"
"1111",10,2.6,1e-06,20,0,2.59687438260216,0.0017965593094,1.25992084454246,0.752619105490893,19.98906232,0.01147148,9.67722035576,5.76824288210727,"1_z005","3c","Less_Restrictive"
"1211",11,0,0,22,20,0,0,0,0,21.998276236,20.001915666,20.983216605382,0.57445238964622,"1_z005","3c*","Less_Restrictive"
"212",1,1385,1238,1000,950,1384.99980538002,1238.176200962,1326.44879725982,44.5491395347023,999.9923952,950.00420675,975.6109034149,14.3871012184671,"2_z009","1a","Less_Restrictive"
"312",2,1384.9,993.1,1000,20,1384.67329325441,993.744705215555,1215.56876300028,114.633418983263,996.08213934,21.01891188,502.50777417584,288.677171098482,"2_z009","1a.1","Less_Restrictive"
"412",3,1384.8,988.5,20,0,1384.3867201302,988.597469838783,1123.72625361789,112.258876328543,19.9471944,0.00761446,10.08948811936,5.83072598750171,"2_z009","1a.2","Less_Restrictive"
"512",4,993.15,949.7,20,0,993.13830295585,949.7011406494,972.228145199199,12.7475785021974,19.98886054,0.0178146,10.2022624603,5.74911406639375,"2_z009","2a","Less_Restrictive"
